filename,transcript
0001.wav,"இந்தியன் பாரஸ்ட் அபிஷியல்ஸ் ஒரு ப்ரொடெக்டடான காட்டு பகுதிக்குள்ள, அதாவது ரொம்பவுமே ஆபத்தான மிருகங்கள் இருக்குது."
0002.wav,"போலீஸ்க்கே இதுக்குள்ள போறதுக்கு பர்மிஷன் இல்ல. பாரஸ்ட் அபிஷியல்ஸ் உள்ள போறப்போ, திடீர்னு காட்டுக்கு நடுவுல, நல்ல மழை சத்தத்துக்கு நடுவுல, தண்ணி ஓடிட்டு இருக்குது. எப்ப எந்த பாறை உருளும்ன்னு தெரியாது."
0003.wav,"இதுக்கு நடுவுல, அவங்க நினைச்சு கூட பார்க்க முடியாத ஒரு காட்சியை பார்க்கறாங்க. ஒரு இயற்கையான குகை. பல மில்லியன் வருஷம் பழமையான ஒரு குகை. ஆனா, அந்த குகை கிட்ட பாத்தீங்கன்னா, துணி எல்லாம் காய போட்டிருக்குது."
0004.wav,"என்னடா அது அப்படின்னு பார்த்தா, இன்னைக்கு வீடியோவ நீங்க பல வருஷத்துக்கு மறக்க மாட்டீங்க. அந்த மாதிரி ஒரு விஷயம் உள்ளுக்குள்ள இருந்தது. இந்த மாதிரி ஏதாவது சாமியா இருந்திருப்பாங்க அப்படின்னு தானே யோசிக்கிறீங்க."
0005.wav,"நோ திருடன், நோ. உள்ள இருக்கிறது ஒரு ரஷ்யன் வுமன். நாற்பது வயசான நினா குட்டினா அப்படின்னு சொல்லப்படக்கூடிய இந்த ரஷ்யன் விமன், தனியா இந்த காட்டுக்குள்ள இருக்கிறது மட்டும் இல்லாம, அவங்களோட ரெண்டு குழந்தைங்க."
0006.wav,"பிரேமா அப்படின்னு சொல்லப்படக்கூடிய அவங்களோட ஆறு வயசு மகளும், ஆமா அப்படின்னு சொல்லப்படக்கூடிய அவங்களோட நாலு வயசு மகளும், மூணு பேரும் இந்த குகைக்குள்ள, இரண்டு ஆயிரத்து இருபத்து ஐந்து-ல, நம்ம எல்லாருமே ஏஐ அந்த மாதிரி வாழ்ந்துட்டு இருக்கோம்."
0007.wav,"யூட்யூப் எல்லாமே வந்து டெக்னாலஜிக்கலா போயிட்டு இருக்கற இந்த நேரத்துல, ரஷ்யாவை சார்ந்த இந்த பெண், இந்தியால, ரெண்டு பெண் குழந்தைகளோட, ஒரு காட்டுக்குள்ள, அதுவும் அடர்ந்த காடு, சுத்தி சுத்தி கிங் கோப்ரா சுத்திட்டு இருக்குங்கறாங்க."
0008.wav,"உள்ளுக்குள்ள நிறைய அனிமல்ஸ் இருக்குங்கறாங்க. சுத்தமா இங்க இருக்கறது பாதுகாப்பே கிடையாது. பாரஸ்ட் அபிஷியல்ஸே உள்ளுக்குள்ள போகறதுக்கு பயப்படக்கூடிய ஒரு காட்டுக்குள்ள, இந்த பெண் என்ன பண்ணிட்டு இருந்தாங்க?"
0009.wav,"அவங்க உள்ள இருக்கிறது மட்டும் இல்லாம, அந்த குகைக்குள்ள என்னென்ன இருக்குங்கறதே வந்து நிறைய பேருக்கு ஆச்சரியத்தை உருவாக்கி இருக்குது. அது மட்டும் இல்லாம, இவங்க இந்தியாலயே இருக்கறதுக்கு பர்மிஷன் கிடையாது."
0010.wav,"என்ன நடந்துட்டு இருக்குது? ஏகப்பட்ட கேள்விகள் இந்த கேஸ்ல இருந்து நம்மளுக்கு எந்திருக்குது. வெல், இன்னைக்கு வீடியோல, அது எல்லாத்தையுமே நான் உங்ககிட்ட டீடைல்டா சொல்ல போறேன். பட், அதை பார்க்க ஆரம்பிக்கிறதுக்கு முன்னாடி, அந்த குகைக்குள்ள என்ன இருந்துச்சு?"
